Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,5,2015-07-31,5263,555.0,1,1,0,1
2,5,2015-07-31,6064,625.0,1,1,0,1
3,5,2015-07-31,8314,821.0,1,1,0,1
4,5,2015-07-31,13995,1498.0,1,1,0,1
5,5,2015-07-31,4822,559.0,1,1,0,1
6,5,2015-07-31,5651,589.0,1,1,0,1
7,5,2015-07-31,15344,1414.0,1,1,0,1
8,5,2015-07-31,8492,833.0,1,1,0,1
9,5,2015-07-31,8565,687.0,1,1,0,1
10,5,2015-07-31,7185,681.0,1,1,0,1
11,5,2015-07-31,10457,1236.0,1,1,0,1
12,5,2015-07-31,8959,962.0,1,1,0,1
13,5,2015-07-31,8821,568.0,1,1,0,0
14,5,2015-07-31,6544,710.0,1,1,0,1
15,5,2015-07-31,9191,766.0,1,1,0,1
16,5,2015-07-31,10231,979.0,1,1,0,1
17,5,2015-07-31,8430,946.0,1,1,0,1
18,5,2015-07-31,10071,936.0,1,1,0,1
19,5,2015-07-31,8234,718.0,1,1,0,1
20,5,2015-07-31,9593,974.0,1,1,0,0
21,5,2015-07-31,9515,682.0,1,1,0,1
22,5,2015-07-31,6566,633.0,1,1,0,0
23,5,2015-07-31,7273,560.0,1,1,0,1
24,5,2015-07-31,14190,1082.0,1,1,0,1
25,5,2015-07-31,14180,1586.0,1,1,0,1
26,5,2015-07-31,7818,611.0,1,1,0,1
27,5,2015-07-31,13213,1263.0,1,1,0,1
28,5,2015-07-31,7301,663.0,1,1,0,1
29,5,2015-07-31,9411,737.0,1,1,0,1
30,5,2015-07-31,4776,625.0,1,1,0,1
31,5,2015-07-31,7248,645.0,1,1,0,1
32,5,2015-07-31,6395,635.0,1,1,0,0
33,5,2015-07-31,10789,915.0,1,1,0,1
34,5,2015-07-31,11144,1162.0,1,1,0,1
35,5,2015-07-31,12412,777.0,1,1,0,1
36,5,2015-07-31,12422,1251.0,1,1,0,0
37,5,2015-07-31,9091,888.0,1,1,0,1
38,5,2015-07-31,7434,608.0,1,1,0,1
39,5,2015-07-31,8336,929.0,1,1,0,1
40,5,2015-07-31,5464,678.0,1,1,0,1
41,5,2015-07-31,6938,494.0,1,1,0,0
42,5,2015-07-31,11946,1235.0,1,1,0,1
43,5,2015-07-31,8096,683.0,1,1,0,1
44,5,2015-07-31,6670,665.0,1,1,0,1
45,5,2015-07-31,6301,442.0,1,1,0,1
46,5,2015-07-31,7628,775.0,1,1,0,0
47,5,2015-07-31,9379,1021.0,1,1,0,1
48,5,2015-07-31,3874,390.0,1,1,0,1
49,5,2015-07-31,10310,666.0,1,1,0,1
50,5,2015-07-31,5729,441.0,1,1,0,1
51,5,2015-07-31,9198,610.0,1,1,0,0
52,5,2015-07-31,8031,527.0,1,1,0,0
53,5,2015-07-31,7540,690.0,1,1,0,1
54,5,2015-07-31,10732,889.0,1,1,0,1
55,5,2015-07-31,6096,673.0,1,1,0,1
56,5,2015-07-31,10022,619.0,1,1,0,1
57,5,2015-07-31,11594,1025.0,1,1,0,1
58,5,2015-07-31,8581,603.0,1,1,0,0
59,5,2015-07-31,7148,628.0,1,1,0,1
60,5,2015-07-31,9762,776.0,1,1,0,1
61,5,2015-07-31,5572,665.0,1,1,0,1
62,5,2015-07-31,7495,772.0,1,1,0,1
63,5,2015-07-31,11525,846.0,1,1,0,1
64,5,2015-07-31,13251,935.0,1,1,0,1
65,5,2015-07-31,7156,561.0,1,1,0,1
